           y_out     y_out_norm         PT_out    density_out          u_out          v_out         ps_out          omega          angle
    -0.12425300      0.3430300       7766.111     0.07952252       63.85645     -126.03338       6939.354     0.00179863       -63.1304
    -0.12028900      0.3380688       7766.432     0.07952388       63.87998     -126.04129       6939.445     0.00140950       -63.1233
    -0.11632700      0.3331101       7766.745     0.07952536       63.90269     -126.04811       6939.543     0.00102909       -63.1163
    -0.11236700      0.3281539       7767.052     0.07952696       63.92459     -126.05398       6939.649     0.00065673       -63.1095
    -0.10840800      0.3231990       7767.347     0.07952864       63.94558     -126.05876       6939.759     0.00029752       -63.1028
    -0.10445100      0.3182466       7767.628     0.07953040       63.96550     -126.06224       6939.873    -0.00004285       -63.0962
    -0.10049600      0.3132966       7767.895     0.07953222       63.98442     -126.06451       6939.992    -0.00036722       -63.0898
    -0.09654300      0.3083492       7768.148     0.07953408       64.00234     -126.06549       6940.116    -0.00067445       -63.0835
    -0.09259200      0.3034043       7768.374     0.07953597       64.01879     -126.06433       6940.244    -0.00094875       -63.0773
    -0.08864500      0.2984643       7768.550     0.07953787       64.03276     -126.05958       6940.374    -0.00116258       -63.0714
    -0.08470000      0.2935269       7768.684     0.07953979       64.04445     -126.05183       6940.508    -0.00132542       -63.0658
    -0.08075800      0.2885932       7768.778     0.07954171       64.05402     -126.04128       6940.644    -0.00144046       -63.0604
    -0.07681900      0.2836633       7768.840     0.07954364       64.06187     -126.02843       6940.782    -0.00151519       -63.0552
    -0.07288400      0.2787384       7768.876     0.07954554       64.06838     -126.01383       6940.921    -0.00155857       -63.0502
    -0.06895200      0.2738173       7768.903     0.07954748       64.07419     -125.99854       6941.062    -0.00159221       -63.0452
    -0.06502500      0.2689024       7768.928     0.07954947       64.07947     -125.98292       6941.207    -0.00162265       -63.0405
    -0.06110200      0.2639925       7768.956     0.07955153       64.08438     -125.96729       6941.355    -0.00165583       -63.0358
    -0.05718300      0.2590876       7768.989     0.07955372       64.08911     -125.95188       6941.507    -0.00169632       -63.0313
